(3196, 1)
(4622, 1)
(4622, 0)
(16568, 0)
(16568, 1)
(17194, 2)
(17194, 0)
(18932, 0)
(19412, 3)
(19412, 4)
(19412, 0)
(24715, 1)
(24715, 0)
(30563, 0)
(35320, 0)
(35320, 1)
(43870, 6)
(43870, 0)
(49404, 2)
(49404, 1)
(49404, 0)
(49925, 0)
(49925, 2)
(54418, 2)
(55899, 2)
(59444, 1)
(63447, 2)
(63447, 1)
(63447, 0)
(65205, 1)
(75819, 1)
(75819, 2)
(75819, 0)
(85675, 1)
(85675, 0)
(87877, 0)
(104230, 1)
(104230, 0)
(104230, 2)
(106206, 1)
(108403, 1)
(108403, 0)
(113045, 1)
(113045, 0)
(113045, 2)
(118487, 0)
(118487, 1)
(122088, 0)
(122088, 1)
(124417, 0)
(128623, 0)
(129077, 1)
(131164, 0)
(143712, 4)
(143712, 5)
(143712, 6)
(151099, 1)
(151099, 0)
(152837, 0)
(162564, 0)
(162564, 1)
(172302, 2)
(174438, 0)
(174438, 1)
(175066, 0)
(175066, 1)
(182130, 1)
(182130, 0)
(183124, 2)
(183124, 0)
(185327, 0)
(192924, 1)
(194852, 2)
(194852, 3)
(196626, 1)
(196626, 4)
(196626, 2)
(196626, 0)
(197096, 1)
(197096, 0)
(200810, 0)
(202243, 1)
(206222, 0)
(209787, 1)
(209787, 0)
(214045, 1)
(214045, 0)
(214045, 3)
(214309, 0)
(214309, 2)
(214309, 1)
(219982, 0)
(219982, 1)
(221584, 1)
(221822, 0)
(221822, 1)
(223627, 0)
(223627, 1)
(228705, 1)
(228705, 0)
(230241, 0)
(231126, 1)
(231126, 0)
(231695, 1)
(232387, 1)
(232387, 0)
(232935, 1)
(232935, 0)
(232935, 2)
(236236, 1)
(240393, 1)
(240765, 1)
(246666, 2)
(246666, 0)
(248052, 0)
(248052, 1)
(248246, 0)
(253987, 3)
(253987, 2)
(253987, 1)
(253987, 0)
(254238, 0)
(254238, 1)
(254671, 1)
(254671, 0)
(260195, 2)
(261783, 1)
(261783, 0)
(261924, 0)
(263816, 0)
(277447, 1)
(280834, 1)
(281323, 0)
(281866, 1)
(281866, 2)
(281866, 0)
(287630, 0)
(289649, 1)
(289649, 0)
(291249, 0)
(295575, 1)
(295575, 0)
(296146, 0)
(297280, 1)
(298494, 1)
(299158, 0)
(300123, 1)
(302022, 0)
(306871, 1)
(306871, 0)
(310094, 1)
(311074, 1)
(313962, 0)
(313962, 1)
(314307, 1)
(314307, 0)
(316524, 1)
(316524, 0)
(318473, 1)
(318473, 0)
(319800, 1)
(322839, 1)
(322839, 0)
(324677, 1)
(330405, 2)
(330405, 1)
(330405, 0)
(332602, 1)
(332602, 0)
(337175, 3)
(337175, 2)
(338739, 0)
(338739, 1)
(338776, 1)
(340139, 0)
(340139, 1)
(342044, 1)
(343562, 0)
(347449, 1)
(347449, 0)
(347624, 1)
(351840, 1)
(351840, 0)
(352311, 1)
(352311, 0)
(352389, 1)
(352389, 0)
(354008, 1)
(357328, 2)
(360467, 1)
(363084, 1)
(366603, 0)
(366603, 1)
(367863, 1)
(367863, 0)
(368459, 1)
(374079, 0)
(377798, 1)
(379556, 0)
(381371, 1)
(387636, 0)
(387636, 1)
(390534, 0)
(390534, 1)
(391000, 2)
(392750, 0)
(392750, 1)
(394853, 0)
(398664, 0)
(400575, 1)
(403336, 0)
(403336, 1)
(407646, 0)
(407646, 1)
(414138, 0)
(414138, 1)
(416625, 1)
(416625, 0)
(418898, 3)
(424092, 3)
(424092, 0)
(427448, 0)
(428384, 1)
(431825, 0)
(434013, 0)
(435418, 1)
(435964, 0)
(438547, 0)
(441880, 0)
(444405, 1)
(444405, 0)
(451856, 0)
(452230, 0)
(452230, 1)
(452230, 2)
(458364, 1)
(458364, 0)
(458725, 1)
(461645, 1)
(461645, 0)
(463377, 0)
(467103, 0)
(467103, 1)
(469009, 1)
(469806, 0)
(469806, 1)
(470542, 3)
(470542, 0)
(470992, 2)
(470992, 0)
(471895, 0)
(477006, 0)
(477006, 1)
(478410, 0)
(480730, 1)
(480730, 2)
(480730, 0)
(481588, 0)
(481588, 1)
(481645, 0)
(482636, 0)
(482636, 1)
(483874, 1)
(483874, 0)
(484165, 1)
(489026, 0)
(492241, 0)
(492241, 1)
(492679, 2)
(492679, 0)
(492679, 1)
(494974, 0)
(494974, 1)
(494974, 2)
(499308, 1)
(501021, 1)
(501021, 0)
(505007, 0)
(509504, 1)
(511381, 1)
(511381, 0)
(511873, 0)
(512310, 8)
(512909, 1)
(515557, 0)
(517557, 0)
(521270, 1)
(521270, 0)
(521490, 0)
(525702, 0)
(530508, 0)
(531035, 1)
(532037, 1)
(532037, 0)
(533856, 0)
(534217, 0)
(534217, 1)
(534240, 1)
(534240, 0)
(537574, 0)
(537574, 1)
(539029, 1)
(539942, 0)
(539942, 1)
(540314, 2)
(540314, 0)
(540314, 1)
(542419, 0)
(542419, 1)
(544094, 1)
(544094, 0)
(544791, 2)
(545320, 0)
(546410, 0)
(547467, 0)
(547944, 2)
(548475, 1)
(548475, 2)
(555622, 3)
(555622, 0)
(556509, 0)
(557785, 0)
(557785, 1)
(558316, 1)
(558316, 2)
(558316, 0)
(558670, 0)
(560586, 0)
(560586, 2)
(560777, 0)
(561259, 1)
(561576, 3)
(565040, 0)
(565163, 1)
(565163, 0)
(569438, 0)
(569438, 1)
(575042, 2)
(575042, 0)
(575042, 6)
(576071, 1)
(576071, 0)
(577296, 2)
(577296, 1)
(581440, 0)
(581675, 0)
(581675, 1)
(582637, 0)
(582637, 1)
(582940, 2)
(582940, 1)
(586781, 1)
(586781, 3)
(586781, 2)
(596629, 1)
(596629, 0)
(603724, 1)
(603724, 0)
(605182, 1)
(605182, 0)
(605304, 0)
(608355, 1)
(611011, 1)
(611011, 0)
(620788, 0)
(620788, 1)
(626870, 0)
(630472, 0)
(630847, 0)
(630943, 2)
(631625, 0)
(631625, 1)
(635836, 0)
(635836, 1)
(637120, 1)
(637894, 1)
(637894, 0)
(648308, 3)
(648308, 0)
(648308, 1)
(649066, 1)
(649374, 1)
(650178, 0)
(650178, 1)
(653922, 6)
(653922, 5)
(655446, 1)
(656012, 1)
(656012, 2)
(656012, 0)
(658691, 1)
(659188, 3)
(662697, 0)
(666363, 2)
(670107, 0)
(670107, 1)
(673108, 0)
(674776, 1)
(674776, 0)
(679998, 0)
(679998, 1)
(681559, 0)
(681559, 1)
(682308, 2)
(682308, 3)
(682308, 0)
(683528, 3)
(683528, 1)
(683528, 2)
(684106, 0)
(684106, 1)
(686360, 0)
(690948, 1)
(690948, 0)
(699239, 0)
(700648, 0)
(700648, 1)
(701444, 0)
(701444, 3)
(701444, 1)
(701444, 2)
(703977, 2)
(703977, 0)
(703977, 1)
(706236, 0)
(706236, 1)
(706663, 2)
(706664, 1)
(710212, 1)
(713960, 2)
(713960, 1)
(714517, 2)
(714517, 0)
(715350, 3)
(715350, 0)
(715350, 5)
(715915, 1)
(723054, 0)
(723054, 1)
(725556, 0)
(728131, 0)
(729224, 0)
(729428, 2)
(729428, 1)
(730670, 0)
(730670, 1)
(730670, 2)
(733668, 1)
(734806, 2)
(737834, 0)
(737834, 1)
(738575, 0)
